[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:29.375, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:38.526, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:39.332, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:39.897, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:41.396, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:42.013, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T06:54:42.567, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:01:11.895, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:01:22.602, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:01:49.337, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:01:52.044, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:01:52.743, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:02:37.084, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:49:08.243, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:49:35.507, messageType=WARN]
[id=12, messageText=Logging Message 12, timeStamp=2019-10-28T07:50:27.203, messageType=WARN]
